Location,Price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",711000,4,1.75,1980,10800,1,990,990,1948,0,2180,10800
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",310000,4,2.5,1930,7014,2,1930,0,1994,0,1990,7920
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",415000,5,1.75,3700,9140,1,1850,1850,1957,0,2190,6720
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",274900,4,2.5,1970,6600,2,1970,0,1987,0,1970,7682
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",525000,3,3,2470,36445,2,2470,0,1980,0,2310,35350
"TIDKE NAGAR, Nashik",179500,3,1,1180,32214,1,1180,0,1952,0,2300,13714
"Nashik Road, Nashik",478000,3,1,1280,2580,1.5,1280,0,1910,2014,1410,3150
"Serene Meadows, Anandwalli Gaon,Nashik",195000,3,1.75,1380,7350,1,990,390,1981,0,1660,8400
"Balawant Nagar, Anandwalli Gaon,Nashik",385000,4,3,2740,10925,1,1670,1070,1980,0,2330,9940
"Datey Nagar, Veer Sawarkar Nagar,Nashik",401000,3,2.75,2020,9505,1,1260,760,1969,0,2080,11901
"Patil Colony, Canada Corner,Nashik",522000,4,2.5,2835,6598,2,2835,0,2002,0,2770,6969
"Patil Colony, Canada Corner,Nashik",330000,4,1.75,1520,14417,1,1520,0,1968,0,1600,10716
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",503000,3,2.5,2190,4882,2,2190,0,1999,0,2190,7055
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",175000,5,1.75,1680,8400,1,1680,0,1979,0,1800,8550
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",963990,4,3.5,3915,6364,2,3915,0,2014,0,3830,6507
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",845000,5,2,1720,9972,1,1720,0,1951,0,2700,9023
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",157500,2,1,670,4500,1,670,0,1905,0,1210,4500
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",450000,2,3,1790,1709,2,1400,390,2001,0,1460,1462
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",925000,4,1.75,2440,11793,1,1420,1020,1950,0,2500,8028
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",600000,2,1,920,5029,1,920,0,1938,0,1230,5029
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",709000,4,1,1680,4087,1.5,1680,0,1911,0,1740,3745
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",1390000,5,3.75,3290,6480,2,2190,1100,1938,0,2010,7639
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",248000,3,2.5,2120,6840,1,1220,900,1984,0,1820,8200
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",245000,3,1,910,6630,1,910,0,1912,0,950,5100
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",332000,2,1,1000,4776,1,1000,0,1942,0,1500,4800
"Ashoknagar, Satpur,Nashik",459950,3,2.5,2340,4273,2,2340,0,2002,0,2400,4624
"Damodar Nagar, Pathardi Phata,Nashik",425000,3,2,1180,1800,2,1180,0,1994,0,1500,1948
"Ashoknagar, Satpur,Nashik",460000,3,2.25,2080,50965,1,1590,490,1979,0,2270,51836
"Kishor Nagar, Nashik",838300,6,2.5,3760,12978,1,2360,1400,1967,0,2300,7362
"Kishor Nagar, Nashik",256000,3,2.5,1480,7200,2,1480,0,1995,0,1350,7200
"Tirumla Nagar, Wadala Gaon,Nashik",864000,3,2.75,3060,13554,2,3060,0,1984,0,3060,11455
"Kishor Nagar, Nashik",900000,4,3.5,3070,4440,2,2030,1040,1922,2007,1780,4800
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",145600,3,1,1170,7560,1,1170,0,1958,0,1170,7560
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",865000,5,3,2900,6730,1,1830,1070,1977,0,2370,6283
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",250250,3,2.25,2210,8000,2,2210,0,1969,0,1990,8000
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",162000,4,2,1440,7641,1,1440,0,1943,0,1440,7750
"Ashoknagar, Satpur,Nashik",450000,4,1.75,1980,7350,1,1430,550,1973,0,1870,7920
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",675500,4,2.75,2060,21344,1,1460,600,1978,0,2060,16088
"Kishor Nagar, Nashik",697000,3,2.25,2420,5304,1.5,1640,780,1947,0,1560,5304
"Mahatma Nagar, Parijat Nagar,Nashik",1320000,3,3.25,3440,4080,2,2560,880,2005,0,3110,4080
"Ashoknagar, Satpur,Nashik",490000,3,1.75,1600,16510,1,1600,0,1984,0,1510,10407
"Balawant Nagar, Anandwalli Gaon,Nashik",590000,3,2.25,2210,5742,1,1460,750,1951,0,1900,4590
"Kausalya Nagar, Ram Wadi,Nashik",280000,4,1.75,2250,16000,1,1450,800,1957,0,1930,16000
"Chetana Nagar, Rane Nagar,Nashik",515000,2,1,1680,6500,1,1140,540,1941,0,1610,6500
"Panchavati, Nashik",576000,3,1,1140,5395,1,1010,130,1909,0,1700,5376
"Panchavati, Nashik",375000,3,1.75,1430,10574,2,1430,0,1981,0,1900,10450
"Kishor Nagar, Nashik",478000,3,1,1440,7107,1,1000,440,1980,0,1540,7140
"Pramod Nagar, Nashik",282000,3,1,1670,5200,1,1030,640,1977,0,1620,6696
"Serene Meadows, Anandwalli Gaon,Nashik",1400000,4,4.5,3080,10550,2,1940,1140,1976,2007,2780,10550
"Kishor Nagar, Nashik",593500,5,3.25,4300,50405,2,3220,1080,1972,0,2680,41684
"Panchawati, Hirawadi,Nashik",724950,4,3.5,3010,174240,2,3010,0,2004,0,2720,247856
"Patil Colony, Canada Corner,Nashik",306000,3,1.75,1560,7500,1,1560,0,1966,0,1600,7904
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",341000,4,1.75,1920,7665,1,1500,420,1975,0,2100,7344
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",399950,3,2.5,1400,4400,1,1400,0,1930,2014,1060,4400
"Trimbak, Nashik",534000,5,2,2280,3600,2,2280,0,1992,0,1740,1800
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",635000,6,2.5,3880,5700,2,3880,0,2003,0,2620,5070
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",350000,2,1,1350,3880,1,950,400,1927,0,1670,3920
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",856000,3,1.5,1480,2700,1.5,1480,0,1928,0,1970,4200
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",582000,4,3,1670,1189,3,1427,243,2000,0,1700,1401
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",799000,4,2.5,3400,6742,2,3400,0,2004,0,2970,6909
"Datey Nagar, Veer Sawarkar Nagar,Nashik",423700,3,2.5,2070,3986,2,2070,0,1999,0,2090,3986
"TIDKE NAGAR, Nashik",1840000,4,3.5,4870,39190,2,4870,0,1995,0,5000,33880
"Makhmalabad, Nashik",322000,3,2,1760,43575,1,1160,600,1988,0,1760,46038
"Balawant Nagar, Anandwalli Gaon,Nashik",929000,4,3.25,4030,57499,2,4030,0,2002,0,3470,57499
"Datey Nagar, Veer Sawarkar Nagar,Nashik",443000,2,1,1130,5413,1,880,250,1939,0,1250,5413
"Serene Meadows, Anandwalli Gaon,Nashik",441500,3,1.75,1510,7700,1,1510,0,1968,0,1440,7416
"Chetana Nagar, Rane Nagar,Nashik",875000,4,3.5,3110,108464,2,3110,0,1979,0,2340,4938
"Kishor Nagar, Nashik",3600000,3,3.25,5020,12431,2,3420,1600,1941,2002,3680,12620
"College Road, Nashik",450000,2,1,740,5100,1,740,0,1947,0,920,5100
"Datey Nagar, Veer Sawarkar Nagar,Nashik",425000,3,2.25,1630,10500,1,1100,530,1974,0,1640,9794
"College Road, Nashik",660000,4,1.75,2780,9900,2,2780,0,1978,0,2600,12000
"Kishor Nagar, Nashik",763101,3,1.75,1990,5560,1,1100,890,1939,0,1460,3706
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",499000,4,2.75,2250,14149,2,2250,0,1992,0,2450,14027
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",521000,3,1.75,1720,37363,1,1350,370,1974,0,2740,40635
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",302000,2,1,900,423838,1,900,0,1925,0,1810,94960
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",293000,4,2.25,2360,6260,2,2360,0,1998,0,2144,6773
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",335000,3,2.25,1530,4580,2,1530,0,2011,0,2110,4094
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",499000,2,1,1450,3090,2,1450,0,1919,1987,1450,4635
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",600000,3,1.75,2040,5000,1.5,1780,260,1924,0,1690,5000
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",720000,4,1.75,2620,11041,1.5,2620,0,1962,0,2230,11041
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",195000,2,2,1180,2553,2,1180,0,2005,0,1310,2687
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",249000,3,1,1110,8423,1,1110,0,1952,0,1140,9083
"Datey Nagar, Veer Sawarkar Nagar,Nashik",334000,3,2.25,1840,9781,2,1840,0,1989,0,1490,10101
"Ashoknagar, Satpur,Nashik",599950,4,1.75,2720,7810,1,1510,1210,1952,0,2120,7315
"Ashoknagar, Satpur,Nashik",149900,2,1.75,1090,1950,1,1090,0,1982,0,1360,3426
"Damodar Nagar, Pathardi Phata,Nashik",700000,4,1.75,1730,6500,1,1250,480,1945,0,1910,8100
"Damodar Nagar, Pathardi Phata,Nashik",525000,4,1.5,1170,6240,1,1170,0,1960,0,2380,8846
"Ashoknagar, Satpur,Nashik",1050000,4,3.75,4740,126759,2,4740,0,1991,0,3060,118047
"Datey Nagar, Veer Sawarkar Nagar,Nashik",402000,3,2.5,1960,8000,1,1290,670,1977,0,1960,8000
"Ashoknagar, Satpur,Nashik",450000,3,2,1430,3480,1,980,450,1947,0,1450,4650
"Kishor Nagar, Nashik",520000,3,2.25,2510,43995,2,2510,0,1981,0,2470,48351
"Kalpataru Nagar, Nashik",205000,3,1.75,1420,6980,1,820,600,1980,0,1470,7319
"Ashoknagar, Satpur,Nashik",635000,3,2.25,2680,175982,1,2680,0,2004,0,3170,215186
"Balawant Nagar, Anandwalli Gaon,Nashik",210500,3,1,1220,9600,1,1220,0,1958,0,1310,9600
"Kishor Nagar, Nashik",406650,2,1,1070,6100,1,1070,0,1940,0,1770,5695
"Balawant Nagar, Anandwalli Gaon,Nashik",350000,3,1.75,1580,19998,1,1580,0,1968,0,1860,19998
"Gayakhe Colony, Nashik Road,Nashik",425000,4,1.75,1820,6000,1,930,890,1942,0,1590,6000
"Anand Nagar, Nashik Road,Nashik",798000,3,3.5,3590,6402,2,3590,0,1999,0,3230,7305
"Gurudatta Nagar, Nashik Road,Nashik",180000,3,1,1960,9583,2,1960,0,1908,0,1850,8324
"Vrindavan Nagar, Nashik",1250000,5,3.25,3160,13238,2,3160,0,1972,0,2360,12042
"Gulmohar Vihar, Satpur,Nashik",435000,4,2,2030,4033,2,1630,400,1925,0,1350,1340
"Pokar Colony, Vaiduwadi,Nashik",355000,3,1.5,1240,15867,1,1240,0,1962,0,1570,9600
"Mblu 2,Ganesh Nagar, Satpur,Nashik",3000000,5,3.25,5370,14091,2,3850,1520,1918,2008,2410,12047
"Ozone,Nashik Road, Nashik",685000,5,2.5,2670,14455,2,2670,0,1958,0,1810,14455
"Anmol Nayantara Estate,Nashik Road, Nashik",311000,3,1,1640,12060,1,1640,0,1960,0,1680,9147
"Aarambh Apartment,Gangapur, Nashik",305000,4,2.25,2130,9600,1,2130,0,1966,0,1710,9600
"Bhavik Riverside Residency, Srinivas Colony, Uttara Nagar,Nashik",675000,3,2.5,2550,4954,1.5,1850,700,1924,0,1700,4954
"Adinath pride,Pimpalgaon Baswant, Nashik",769000,4,2.75,3630,15405,1,1850,1780,1968,0,3380,11184
"Aakaar Purushottam Heights, Amrutdham, Nashik",430000,3,1.5,1690,9708,1.5,1690,0,1954,0,1570,9858
"Karda Hari Sanskruti, New Railway Colony, Nashik Road,Nashik",516250,6,2,2390,8660,1.5,2390,0,1925,0,2250,12942
"AWHO Pratap Vihar,Cidco, Nashik",760000,3,3.5,2350,10739,1,1340,1010,1940,0,2580,11026
"Aarambh Apartment,Gangapur, Nashik",579950,3,3.5,1420,1217,2,1180,240,2003,0,1494,1264
"Shriji Pride Apartments,Kalpataru Nagar, Nashik",476000,3,2.25,1570,7187,1,1170,400,1980,0,1660,8775
"Shriji Pride Apartments,Kalpataru Nagar, Nashik",510000,3,1.75,1600,19200,1,1600,0,1967,0,2010,14850
"Gitanjali ,Nashik Road, Nashik",205000,2,1,720,5040,1,720,0,1955,0,1357,5120
"Karda Hari Sanskruti, Ghatkopar, Nashik",240000,3,1,1470,7350,1,1470,0,1969,0,1720,8050
"Saiship apartment,Nashik Road, Nashik",738000,5,3.5,2790,16952,2,1970,820,1991,0,2980,17281
"Saiship,Nashik Road, Nashik",420000,3,1.75,1720,8102,1,860,860,1940,0,1440,8106
"Satyam Oleander by Satyam Group, Ambedkar Nagar, Nashik",455000,3,1.75,1300,9600,1,1300,0,1969,0,2070,9775
"Sky View Apartment, Gandhi Nagar Airport Area, Deolali Gaon,Nashik",765000,4,1,2520,5500,1.5,1820,700,1912,0,2350,5000
"arham residency, Indraprastha Colony, Nashik Road,Nashik",372000,4,1.5,1780,7914,1.5,1780,0,1962,0,1350,8069
"Hari Mantra Apartment,Nashik Road, Nashik",160000,3,1,1200,8360,1,1200,0,1948,0,1570,6823
"Akshar Garden, Dhurav Nagar, Satpur,Nashik",772000,4,2.5,2990,9643,2,2990,0,2003,0,2990,8666
"Salunkhe Nagar, Nashik",1130000,5,1.75,1910,5640,2,1910,0,1906,0,2050,5400
"Shilpadham CHS,Nashik Road, Nashik",479000,3,1,1370,3000,1.5,1370,0,1924,0,1510,2151
"Saijyot Apt,Nashik Road, Nashik",570000,3,2.5,1910,4941,2,1910,0,1999,0,1910,4941
"Hari Aangan, Gandhi Nagar Airport Area, Deolali Gaon,Nashik",350000,4,1,1170,8147,1.5,1170,0,1959,0,1260,8147
"Sai shrushti Apartment,Nashik Road, Nashik",353000,3,2.5,1250,864,3,1250,0,2004,0,1330,2298
"Royal Infinity,Serene Meadows, Anandwalli Gaon,Nashik",699000,5,2.5,3340,24755,2,3340,0,2002,0,3420,23274
"Kavvy Appt jail road,Nashik Road, Nashik",265000,3,2,1380,8536,2,1380,0,1955,0,1260,8750
"Nashik Road, Nashik",167000,1,1,780,10235,1.5,780,0,1989,0,930,10165
"Nashik Road, Nashik",500000,4,2.25,2080,8000,1,1390,690,1964,0,1800,7700
"Prabhavi Shilp Swamini Apartment, Laxman Nagar, Nashik Road,Nashik",700000,3,1,1410,7200,2,1410,0,1901,0,1640,7200
"Aditya Pride Prestige, Nashik Road, Nashik",295000,1,1,520,5600,1,520,0,1918,0,1030,5265
"Aditya Pride Prestige, Nashik Road, Nashik",1010000,4,3.5,3500,4080,2,2590,910,2004,0,2430,5100
"Dev Prarthana Apartment,Gayakhe Colony, Nashik Road,Nashik",209000,2,1,840,5265,1,840,0,1969,0,920,5100
"Harmony Elite, Shivaji Nagar, Nashik",276000,3,1.75,2240,9200,1,1440,800,1968,0,1740,9600
"Gopal Dham Apts,Nashik Road, Nashik",380000,4,2.5,2100,5857,2,2100,0,2002,0,2090,7779
"Brick Enclave, Satpur Gaon, Satpur,Nashik",315000,3,1.5,1750,12500,1,1150,600,1954,0,1680,13000
"Prestige garden society ,Pimpalgaon Bahula, Nashik",685530,4,2.5,3130,60467,2,3130,0,1996,0,2780,44224
"Thakkar Nagar, New Pandit Colony,Nashik",254600,3,2,1470,20000,1,1470,0,1968,0,1390,30056
"Lotus Park,Swaminarayan Nagar, Nashik",230000,3,2,1440,5600,1,720,720,1942,2007,1120,5700
"Professor Colony, Nashik",335000,3,3,1430,1249,3,1430,0,2003,0,1020,1112
"Akshar Garden, Dhurav Nagar, Satpur,Nashik",550000,4,2.5,2170,9600,1,1460,710,1980,0,1940,8400
"Shree Ganesh Apartment, Nashik Road, Nashik",123300,3,1,1150,8050,1.5,1150,0,1956,0,1360,8050
"hari am,Laxman Nagar, Nashik Road,Nashik",275436,4,2.75,2170,9658,1.5,2170,0,1966,0,1490,9731
"Harmony Elite, Nashik Road, Nashik",325000,4,3.5,2630,3435,1.5,1640,990,1984,0,1920,2435
"Lambodar darshan apt,Panchawati, Hirawadi,Nashik",635000,4,2.5,2490,40608,2,2490,0,1997,0,3170,45441
"Ayodhya Nagar, Nashik Road,Nashik",513000,3,1.75,1710,5000,1,1110,600,1944,0,920,5000
"Gayakhe Colony, Nashik Road,Nashik",580000,4,2.5,2130,35752,1,1490,640,1980,0,3030,34000
"Sairaj park apartment,Prabhat Colony, Nashik",225000,3,1,940,9272,1,940,0,1954,0,1270,9375
"Mahalaxmi Nagar, Nashik",265000,3,1,1400,9460,1,1060,340,1961,0,1570,7700
"Building Omkar Classic,Indira Nagar, Nashik",313000,4,1.75,1630,3000,1,930,700,1978,0,1630,3000
"Near vikhe Patil school,Ambad Village, Nashik",296000,2,1,1370,8400,1,1370,0,1948,0,1330,8396
"Vrundawan garden,Satpur Gaon, Satpur,Nashik",655500,4,2.75,2380,15800,1,1680,700,1957,2001,1950,11751
"Daksh Sai Galaxy, Pandav Nagari, Pathardi Phata,Nashik",250750,5,1.75,2140,12058,1,2140,0,1951,0,1640,10125
"Hari Om Apartment, Kala Nagar, Indira Nagar,Nashik",438000,4,2.5,1970,8545,2,1970,0,2004,0,2590,7200
"rajashree empire,Abhiyanta Nagar, Nashik",590000,3,2.75,2550,54014,2,1980,570,1967,0,2180,21600
"Quadra Gloria Apartment,Balawant Nagar, Anandwalli Gaon,Nashik",329500,3,1,1080,5250,1,1080,0,1947,0,1100,5250
"Samraat Apna Ghar Phase II, Dhurav Nagar, Satpur,Nashik",1200000,3,2.25,3070,9645,2,2110,960,1987,0,3130,9450
"shri krishnarpan ,Pathardi Gaon, Pathardi Phata,Nashik",415000,2,1,1470,6000,1,900,570,1944,0,1670,6000
"Malpani Group Malpani Shree Rudra Residency, Uttam Nagar, Nashik",900000,4,2.5,3620,42580,2,3620,0,1984,0,2950,33167
"Madhur Residency, Mahatma Nagar, Parijat Nagar,Nashik",378000,3,1.5,1050,57499,1,1050,0,1975,0,1460,42688
"Not available,Vasantdadanagar, Adgaon,Nashik",474000,2,1,1050,403365,1,1050,0,1905,0,1760,108900
"Serene Meadows, Serene Meadows, Anandwalli Gaon,Nashik",464000,3,1,1320,3625,2,1320,0,1900,0,1660,5438
"Shree Prakash Le Regalia, Bhor Town Ship, Nashik",310000,3,1,1210,7649,1,1210,0,1956,0,1210,6760
"Jaikumar Parksyde Homes Phase 2B, Hanuman Nagar, Nashik",580000,3,1.5,1860,7190,2,1860,0,1952,0,1670,5525
"Pushkraj Annex Nakshatra builders,Ganpati Nagar, Anandwalli Gaon,Nashik",999000,3,2.75,2830,505166,1,1830,1000,1962,0,2120,21988
"Ravi Amrapali Towers, Ganesh Baba Nagar, Nashik",510000,2,1,810,6480,1,810,0,1942,0,1920,6000
"Aakar residency,Dhurav Nagar, Satpur,Nashik",650000,3,1.5,1630,7475,1,1160,470,1940,0,2320,7475
"Symphony, Dnyaneshwar Nagar, Pathardi Phata,Nashik",196000,3,1,880,19600,1,880,0,1978,0,880,10500
"Sinnar Taluka, Nashik",220000,4,1.75,1660,11664,1,1010,650,1952,0,1670,9975
"Radhakrishnan residency,Balawant Nagar, Anandwalli Gaon,Nashik",855000,3,2.25,3440,10628,2,3440,0,1985,0,3170,11434
"Ekta Greenville Villa, Buddha Vihar, Pathardi Phata,Nashik",483000,3,1.75,2110,10454,1,1440,670,1978,0,1990,10890
"Nirman Ashiyana, Kathda, Nashik",400000,3,1,1060,12000,1,1060,0,1952,0,1550,10500
"Nirman Nirmans Vrindavan Gardens, MIDC, Satpur,Nashik",435000,3,2.5,1900,7984,2,1900,0,1993,0,2650,9352
"Jay Vijay Paradise Park, Ramkrishna Nagar, Makhmalabad,Nashik",219500,1,1,820,1060,1,760,60,2007,0,1770,1924
"Jagtap Nagar, Nashik",2950000,4,3.5,4860,23885,2,4860,0,1996,0,3580,16054
"Kasliwal Arcade,Shivaji Nagar, Nashik",427000,3,2.5,2050,3218,3,2050,0,2008,0,2050,7200
"Karda Hari Sanskruti, Ghatkopar, Nashik",430000,2,1.5,1090,4013,1.5,1090,0,1900,0,1390,4013
"Ananth Jayanthi Phoenix, Satpur Gaon, Satpur,Nashik",685000,2,1.5,1090,4013,1.5,1090,0,1900,0,1390,4013
"Ambad Village, Nashik",495000,2,1.5,1920,6250,1,1060,860,1937,0,2070,6250
"Awho colony pratap vihar,Professor Colony, Nashik",299950,3,2.5,1870,7942,2,1870,0,1990,0,1870,7392
"Aditya Pride Tower, Deolali Gaon, Nashik",390000,4,1.75,2690,46609,1.5,2690,0,1940,0,1920,7302
"Dehmandir Cooperative Housing Society, Nashik",385000,3,1.75,2160,5863,1.5,1260,900,1928,0,1590,3000
"suyojit lawans phase ii,Kamgar Nagar, Satpur,Nashik",740000,4,2.5,3000,10392,2,3000,0,1995,0,3140,9213
"Kailash Nagar, Nashik",991700,4,3,2290,2350,2,1610,680,1924,2011,1610,3820
"Ekdant Nagar, Nashik",765000,3,2.75,2250,9600,2.5,1830,420,1909,1991,2060,4980
"Suyojit Viridian Vallis, Chandshi, Nashik",802000,4,2.25,2130,8734,2,2130,0,1961,0,2550,8800
"Sagar Village, Nashik",950000,4,2.75,2500,20000,1,1700,800,1969,0,2650,20000
"Nashik Road, Nashik",392000,4,2.5,2300,41167,2,2300,0,1988,0,2300,21765
"Balaji Heights, Pimpalgaon Baswant, Nashik",590000,3,2.5,3360,218235,1,3360,0,1989,0,2650,220849
"Ashok Residency, Shramik Nagar, Nashik",425000,4,2.5,1920,9000,2,1920,0,1989,0,1530,10474
"Navkar Nest, Mhasrul Gaon, Nashik",765000,5,1.75,2440,15143,1.5,1740,700,1944,0,2390,10907
"Tarwala Nagar, Nashik",313500,3,2.25,1440,3488,2,1440,0,1983,0,1390,3488
"Vrindavan Nagar, Nashik",320000,3,1,1780,6840,2,1780,0,1947,0,1410,7200
"Anand Vishva,Nashik Road, Nashik",604000,4,1.75,1490,4485,1,1350,140,1960,0,1380,4846
"Om Residency, Nashik Road, Nashik",570000,3,2,1400,1657,2,1060,340,2004,0,1540,2275
"Nashik Road, Nashik",639000,4,2.5,2150,12028,2,2150,0,1982,0,1800,11777
"Konark Nagar, Nashik",335000,4,2,1910,10200,1,1910,0,1963,0,1820,15600
"Royal Greens ,Samangaon, Nashik",896000,4,1.75,2660,3520,2,2080,580,1917,0,2100,4080
"Laxmi Pride, Nashik Road, Nashik",259500,3,1.75,1650,12349,1,1650,0,1957,0,1470,10763
"S.R. Shree Vighnahar Heights, Ekdant Nagar, Nashik",637000,3,2,1980,6000,1,1380,600,1958,0,1260,6000
"Amar Jajoo Enclave, Murari Nagar, Nashik",307450,4,2.75,2690,8874,1,1370,1320,1980,0,1990,7875
"Sinnar Taluka, Nashik",535000,3,1.75,1380,3561,1,860,520,1925,0,1820,4593
"VRaj Apartment,Sharda Vihar, Nashik",669500,4,2.25,2500,4046,1.5,1520,980,1940,0,1410,4046
"Heramb Apartment ,Sai Nath Nagar, Nashik",259000,3,1.75,1590,7148,1,1590,0,1952,0,1150,7280
"Meera Residency, Nashik Road, Nashik",441000,4,1.5,1100,3300,1,1100,0,1919,0,2020,4000
"Nirman Ashiyana, Kathda, Nashik",228800,4,2.5,1470,1612,2,980,490,2003,0,1460,5027
"Omkar Residency,Gandhi Nagar Airport Area, Deolali Gaon,Nashik",530000,2,2,1680,4950,1,1680,0,2006,0,1570,4800
"Saraf Bazar, Panchavati,Nashik",524000,2,2,1450,2272,1,750,700,1924,0,2170,4370
"Nashik Road, Nashik",430000,4,2.25,2020,4840,1.5,1200,820,1925,0,1410,4840
"Adhav Nagar, Nashik Road,Nashik",1330000,4,3.25,2470,4760,1.5,1890,580,1906,0,2470,4760
"Pacific Prabhu Platinum, Prabhat Colony, Nashik",210000,3,1,1230,12201,1,1230,0,1969,0,1230,10780
"Saarthak Garima, Mahalakshmi Nagar, MIDC Ambad,Nashik",449000,4,2.5,1850,5040,1,1230,620,1930,2013,1010,5040
"Sai Residency, Makhmalabad, Nashik",945000,2,2.5,2540,7089,2,2540,0,2004,0,1330,7089
"Sadguru Nagar, Nashik",200450,3,1,970,9130,1,970,0,1957,0,1000,8886
"Karda Hari Sanskruti, Ghatkopar, Nashik",219950,3,1.5,1070,6601,1,1070,0,1985,0,1030,6614
"Dave colony 12 no socity,Sinnar Taluka, Nashik",659500,4,3,2620,18362,1,1870,750,1956,0,2630,16792
"Ashoka Royale Chs ltd,Tirumla Nagar, Wadala Gaon,Nashik",746000,4,2.75,2110,8190,1.5,2110,0,1966,0,2420,8400
"Mangalum, Viveka Nand Nagar, Anandwalli Gaon,Nashik",540000,3,1.75,2110,7129,1,1280,830,1982,0,1810,8674
"TULSI APPRTMENT,Makhmalabad, Nashik",485000,5,2,1910,5508,1,1020,890,1968,0,1030,7440
"Anmol Nayantara Estate,Forest Colony, Parijat Nagar,Nashik",202000,2,1,670,7844,1,670,0,1942,0,740,7218
"Flora Apartment, Buddha Vihar, Pathardi Phata,Nashik",2530000,4,5.5,6930,45100,1,4310,2620,1950,1991,2560,37766
"Anmol Nayantara Estate,Forest Colony, Parijat Nagar,Nashik",502000,3,2.75,2010,11200,1,1360,650,1979,0,2200,10640
"Samraat Nucleus, Bhagwant Nagar, Dr.Homi Bhabha Nagar,Nashik",279000,2,2.75,1770,10534,1,1210,560,2003,0,1600,17400
"Vaibhavlaxmi apartment ,Nashik Road, Nashik",409500,3,1,1340,4120,1,1040,300,1921,0,1270,4635
"Shreeji Sankul, Sharda Vihar, Nashik",453000,3,2,1660,15050,1,1260,400,1983,0,1660,7320
"Subhadra Royale Town Shree Lambodar, Makhmalabad, Nashik",367000,4,1,1820,5500,1.5,1820,0,1947,0,1140,5500
"Saptashrungi Avenue,Ambad Village, Nashik",550000,3,2.5,2510,5400,2,2510,0,1992,0,1840,5400
"Chandrakiran Plaza, Chanakya Nagar, Khutwad Nagar,Nashik",273500,3,1.5,1560,8314,1,1560,0,1962,0,1820,8925
"Nirman Ashiyana, Kathda, Nashik",505000,4,3,2280,7400,1,1340,940,1978,0,1540,7500
"Nirman Ashiyana, Kathda, Nashik",770000,3,2.5,2650,40705,2,2650,0,1994,0,2550,42625
"Hanuman Nagar, Nashik",565000,4,2.25,2470,7447,2,2470,0,1984,0,2270,7400
"United Palms, Sai Nath Nagar, Nashik",316000,3,0.75,1270,10092,1,1270,0,1971,0,1300,10375
"S S Saket Plaza, Ayodhya Nagari, Nashik",160000,4,1,1520,7298,1.5,1520,0,1960,0,1520,7298
"Dhurav Nagar, Satpur,Nashik",170000,3,1,1310,9529,1,1310,0,1956,0,1330,9529
"Sai Saya Apartment,Ojhar, Nashik",235000,3,1,1310,9529,1,1310,0,1956,0,1330,9529
"Aashirwad Blossom,Prabudha Nagar, Satpur,Nashik",1800000,4,3.5,3930,39098,2,3930,0,1999,0,4250,38682
